,y_true
0,2409.927978515625
1,2762.6142578125
2,3050.820068359375
3,3159.607177734375
4,3268.740234375
5,3404.27783203125
6,3486.8056640625
7,3601.44873046875
8,3674.205322265625
9,3715.17822265625
10,3782.292724609375
11,3954.216552734375
12,4109.0693359375
13,4232.0615234375
14,4393.61767578125
15,4505.6083984375
16,4566.13720703125
17,4741.185546875
18,4864.17724609375
19,4777.85546875
20,4139.4033203125
21,3460.56396484375
22,3900.72216796875
23,4189.53369140625
24,4315.609375
25,4467.3701171875
26,4642.42822265625
27,4730.65869140625
28,4846.65283203125
29,4892.51025390625
30,4874.984375
31,4878.68603515625
32,5009.43212890625
33,5085.0439453125
34,5147.802734375
35,5253.7294921875
36,5279.2880859375
37,5263.4736328125
38,5352.81689453125
39,5363.13134765625
40,5184.16943359375
41,4379.83984375
42,4099.1787109375
43,4540.74072265625
44,4678.24609375
45,4719.7958984375
46,4809.3876953125
47,4919.42431640625
48,4924.94775390625
49,4955.32666015625
50,4926.458984375
51,4873.380859375
52,4872.86279296875
53,5020.84228515625
54,5105.56298828125
55,5184.8017578125
56,5310.56689453125
57,5367.27783203125
58,5357.8154296875
59,5439.216796875
60,5433.5302734375
61,5252.3515625
62,4336.14013671875
63,4088.239990234375
64,4571.83154296875
65,4594.88916015625
66,4650.669921875
67,4758.0595703125
68,4904.4267578125
69,4935.49072265625
70,4985.1845703125
71,4979.2841796875
72,4919.81396484375
73,4942.93310546875
74,5087.083984375
75,5166.74658203125
76,5251.65234375
77,5384.326171875
78,5447.7041015625
79,5463.990234375
80,5516.0615234375
81,5435.73779296875
82,5295.57568359375
83,4230.431640625
84,4129.869140625
85,4744.10888671875
86,4670.48583984375
87,4678.37109375
88,4737.5908203125
89,4883.234375
90,4947.46044921875
91,5037.71875
92,5085.45361328125
93,5040.38427734375
94,5047.9189453125
95,5134.8857421875
96,5224.74560546875
97,5287.06201171875
98,5426.85302734375
99,5488.673828125
100,5503.60400390625
101,5521.17919921875
102,5389.13134765625
103,5303.72119140625
104,4097.205078125
105,4087.848388671875
106,4874.84521484375
107,4769.55224609375
108,4718.21630859375
109,4713.373046875
110,4839.4521484375
111,4925.38916015625
112,5033.6611328125
113,5116.083984375
114,5084.2158203125
115,5078.85107421875
116,5143.767578125
117,5254.4267578125
118,5288.06005859375
119,5419.79052734375
120,5489.7978515625
121,5501.07421875
122,5519.7333984375
123,5368.9765625
124,5296.68115234375
125,3983.4501953125
126,4036.463623046875
127,4980.810546875
128,4876.00244140625
129,4767.34814453125
130,4727.5810546875
131,4833.85498046875
132,4922.37060546875
133,5026.17578125
134,5129.71044921875
135,5110.08447265625
136,5090.05224609375
137,5143.734375
138,5256.37158203125
139,5280.5126953125
140,5397.72509765625
141,5475.23828125
142,5508.71875
143,5535.18408203125
144,5393.19287109375
145,5291.10107421875
146,3891.85791015625
147,3971.44091796875
148,5014.9423828125
149,4962.0224609375
150,4799.3603515625
151,4739.18017578125
152,4844.634765625
153,4927.3515625
154,5041.47216796875
155,5153.359375
156,5149.34765625
157,5109.64306640625
158,5150.97314453125
159,5256.38037109375
160,5282.041015625
161,5400.37890625
162,5472.25341796875
163,5522.99462890625
164,5566.2197265625
165,5435.0751953125
166,5278.34228515625
167,3838.67333984375
168,3833.4599609375
169,4932.478515625
170,4982.1962890625
171,4818.6279296875
172,4754.6123046875
173,4883.42431640625
174,4962.263671875
175,5086.7001953125
176,5194.1484375
177,5192.0361328125
178,5142.68896484375
179,5185.6455078125
180,5270.1904296875
181,5306.93359375
182,5423.73974609375
183,5479.8251953125
184,5551.49462890625
185,5606.18115234375
186,5472.61669921875
187,5196.75927734375
188,3745.708984375
189,3704.741943359375
190,4818.7548828125
191,4995.60888671875
192,4841.09521484375
193,4778.11181640625
194,4941.06494140625
195,5027.64794921875
196,5170.9169921875
197,5280.89892578125
198,5269.8056640625
199,5206.8525390625
200,5203.185546875
201,5241.646484375
202,5276.6796875
203,5376.2041015625
204,5448.34228515625
205,5539.82080078125
206,5584.8232421875
207,5469.31787109375
208,5068.38037109375
209,3630.441650390625
210,3534.038818359375
211,4653.42529296875
212,5001.44775390625
213,4851.10498046875
214,4789.37060546875
215,4961.23193359375
216,5069.99658203125
217,5254.5205078125
218,5380.88232421875
219,5349.435546875
220,5255.74462890625
221,5190.48779296875
222,5177.2568359375
223,5216.95361328125
224,5320.4013671875
225,5407.4921875
226,5524.115234375
227,5559.56396484375
228,5467.029296875
229,4948.04638671875
230,3517.958251953125
231,3368.622802734375
232,4521.931640625
233,5032.34912109375
234,4880.9990234375
235,4813.27978515625
236,4941.80224609375
237,5070.78466796875
238,5267.306640625
239,5412.79931640625
240,5384.04736328125
241,5272.4833984375
242,5168.22119140625
243,5112.41357421875
244,5149.4345703125
245,5233.98974609375
246,5337.57275390625
247,5469.87060546875
248,5480.85888671875
249,5402.8291015625
250,4787.95068359375
251,3368.166748046875
252,3187.759033203125
253,4375.388671875
254,5040.2763671875
255,4895.6826171875
256,4812.22119140625
257,4873.83837890625
258,5011.41845703125
